AoD_J,Offset_J,AoD_K,Offset_K,JulianDay,ID,Year
2.737,0,2.415,0,95,21,2020
2.323,2,1.291,3,95,21,2020
1.823,1,1.657,0,123,21,2020
2.137,0,2.004,0,123,21,2020
2.894,3,2.415,2,77,22,2020
1.79,0,2.238,2,77,22,2020
2,1,2.323,2,95,22,2020
1.58,0,1.731,1,95,22,2020
1.713,0,1.372,0,103,22,2020
0.817,1,1.118,0,103,22,2020
1.084,0,0.884,0,123,22,2020
1.412,0,0.895,0,123,22,2020
0.761,1,0.685,0,138,22,2020
1.173,3,1.163,2,154,22,2020
1.198,0,0.913,0,154,22,2020
1.222,1,0.692,1,161,22,2020
-1.583,3,-1.273,3,161,22,2020
2.57,0,1.489,0,95,44,2020
2.247,1,1.818,0,95,44,2020
2.801,0,1.734,0,123,44,2020
2.877,2,3.125,1,138,44,2020
1.897,1,1.044,1,138,44,2020
2.182,2,1.065,0,142,44,2020
1.487,1,0.714,1,142,44,2020
1.241,0,2.216,1,65,49,2020
1.402,1,2.527,0,65,49,2020
3.693,1,1.916,2,77,49,2020
2.915,0,3.161,0,77,49,2020
2.912,0,2.618,0,95,49,2020
2.339,0,3.458,0,95,49,2020
4.492,3,4.605,3,138,49,2020
3.887,4,3.061,4,138,49,2020
1.34,0,2.5,1,65,53,2020
1.733,0,2.009,0,65,53,2020
2.656,3,3.048,1,77,53,2020
1.765,0,2.384,0,77,53,2020
1.884,0,1.804,0,138,53,2020
2.541,2,3.197,2,138,53,2020
2.217,3,3.038,3,142,53,2020
1.665,2,2.323,3,142,53,2020
1.373,1,2.932,0,161,56,2020
1.381,0,0.972,0,161,56,2020
1.325,2,0.667,1,103,356,2020
3.523,2,2.964,1,77,383,2020
3.099,0,3.116,1,77,383,2020
1.317,2,3.24,1,103,383,2020
0.106,1,1.59,1,103,383,2020
0.781,1,0.797,0,123,383,2020
0.83,0,1.069,0,123,383,2020
2.009,1,1.781,2,65,531,2020
2.505,1,2.309,2,65,531,2020
0.464,0,0.79,2,95,531,2020
-0.738,1,0.481,1,95,531,2020
2.23,2,3.366,4,77,723,2020
2.155,1,1.786,1,77,723,2020
0.48,0,0.293,0,123,723,2020
0.985,1,1.215,0,123,723,2020
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
,,,,-2,,
